Task,Completed,Created At,Completed At
Study Python,True,2025-07-01,2025-07-01
Read AI paper,True,2025-07-01,2025-07-02
Write blog post,True,2025-07-02,2025-07-03
Workout,True,2025-07-03,2025-07-03
Clean room,False,2025-07-03,
Watch tutorial,True,2025-07-04,2025-07-04
Do groceries,False,2025-07-04,
Debug project,True,2025-07-05,2025-07-05
Meeting prep,True,2025-07-06,2025-07-06
Backup files,False,2025-07-06,
Call friend,True,2025-07-06,2025-07-07
Buy gift,True,2025-07-07,2025-07-07
Read book,True,2025-07-08,2025-07-08
Pay bills,False,2025-07-08,
Fix bug,True,2025-07-09,2025-07-09
